Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,552504629,7088.354201181961,4820678,61.84685405386069,271721,6347816,81.43926014406311,7400,0.09493824727529386,388,
United States of America,Americas,87176676,26337.153,472920,142.875,0,1009906,305.105,1277,0.386,0
India,South-East Asia,43639329,3162.26,120765,8.751,16678,525454,38.076,231,0.017,26
Brazil,Americas,32687680,15378.138,215833,101.54,0,672790,316.519,932,0.438,0
France,Europe,31178060,47937.219,684721,1052.779,0,146630,225.448,381,0.586,0
Germany,Europe,29025760,34900.695,551807,663.495,3495,141870,170.585,171,0.206,8
The United Kingdom,Europe,22884446,33710.109,72404,106.655,0,180718,266.208,71,0.105,0
Italy,Europe,19439501,32593.924,670630,1124.435,81563,169106,283.538,561,0.941,44
Republic of Korea,Western Pacific,18524538,36131.914,128688,251.005,12693,24661,48.101,87,0.17,56
Russian Federation,Europe,18465308,12653.151,22683,15.543,3097,381621,261.502,315,0.216,38
Türkiye,Europe,15180444,17999.303,57113,67.718,0,99057,117.451,25,0.03,0
Spain,Europe,12973615,27409.462,155431,328.38,0,108730,229.715,619,1.308,0
Viet Nam,Western Pacific,10754813,11048.87,6174,6.343,465,43089,44.267,2,0.002,0
Japan,Western Pacific,9696650,7666.763,298524,236.031,50918,31426,24.847,110,0.087,10
Argentina,Americas,9394326,20785.85,0,0,0,129109,285.666,0,0,0
Australia,Western Pacific,8413831,32995.566,192771,755.968,0,10225,40.098,212,0.831,0
Netherlands,Europe,8231077,47284.428,30902,177.52,0,22404,128.703,23,0.132,0
Iran (Islamic Republic of),Eastern Mediterranean,7244694,8625.36,5137,6.116,1775,141420,168.371,24,0.029,7
Colombia,Americas,6175181,12136.066,0,0,0,140070,275.279,0,0,0
Mexico,Americas,6152924,4772.196,60508,46.93,0,325928,252.789,136,0.105,0
Indonesia,South-East Asia,6112986,2234.902,17635,6.447,1681,156798,57.325,40,0.015,7
Poland,Europe,6022454,15866.042,5928,15.617,227,116453,306.793,18,0.047,0
Portugal,Europe,5237436,50869.098,36609,355.568,0,24279,235.812,71,0.69,0
China,Western Pacific,5095230,346.311,219946,14.949,29358,22264,1.513,675,0.046,73
Ukraine,Europe,5019125,11476.546,0,0,0,108671,248.483,0,0,0
Malaysia,Western Pacific,4595974,14200.007,22083,68.229,3264,35811,110.644,35,0.108,2
Austria,Europe,4573219,51378.341,75378,846.843,8372,20120,226.04,34,0.382,2
Thailand,South-East Asia,4546854,6514.12,14754,21.138,1811,30859,44.211,141,0.202,24
Israel,Europe,4455093,51470.994,71800,829.526,10463,11068,127.872,25,0.289,0
Belgium,Europe,4294880,37274.05,28485,247.213,0,31977,277.519,19,0.165,0
Chile,Americas,4055693,21215.999,31996,167.376,0,58717,307.158,128,0.67,0
South Africa,Africa,3997269,6739.77,1869,3.151,0,101876,171.772,61,0.103,0
Czechia,Europe,3941752,36859.683,6158,57.584,245,40332,377.148,7,0.065,0
Canada,Americas,3932523,10419.445,0,0,0,41756,110.635,0,0,0
Greece,Europe,3843142,35855.005,123303,1150.369,13306,30476,284.329,174,1.623,28
Switzerland,Europe,3787760,43765.768,7163,82.765,0,13329,154.01,0,0,0
